Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Syncope (HP:0001279)	3/21	0.000001990809697655259165685083522223663976546959020197391510009765625	0.000242878783113941614825448400694085648865438997745513916015625	0.000085092345255028347295218893453494501954992301762104034423828125	0.01038126612111345790923078169498694478534162044525146484375	-2.2859029030427727	19.025451164242988	KCNH2;SCN5A;CALM1
Autosomal dominant inheritance (HP:0000006)	8/1134	0.00003388114075864823659077484929724732864997349679470062255859375	0.00183986627501596150709162191816403719712980091571807861328125	0.034173991121882359156547437351036933250725269317626953125	0.1675215576874556633324431231812923215329647064208984375	-2.319901936454713	14.610887126641787	KCNH2;AR;PRSS1;IGHG1;KDR;PPARG;SCN5A;CALM1
Sudden cardiac death (HP:0001645)	3/88	0.00015581725060581324399620883891515177310793660581111907958984375	0.0024997272788144816839384088069664358044974505901336669921875	0.0044106876867787934981546271728802821598947048187255859375	0.059789321976334762476223971816580160520970821380615234375	-2.1438798193478967	12.845213816218894	KCNH2;SCN5A;CALM1
Primary amenorrhea (HP:0000786)	3/59	0.000047226362325398008371567237784205417483462952077388763427734375	0.00183986627501596150709162191816403719712980091571807861328125	0.0014632890116738884143943177917890352546237409114837646484375	0.03810503203686850526299423336240579374134540557861328125	-1.9073771100116932	12.012780033672378	AR;PPARG;ESR1
Sudden death (HP:0001699)	2/14	0.000124485784699353806137533950959550566039979457855224609375	0.0024997272788144816839384088069664358044974505901336669921875	0.00159173608860064641316867106723975666682235896587371826171875	0.03810503203686850526299423336240579374134540557861328125	-1.9904725775564622	11.92606302988109	SCN5A;CALM1
Prolonged QT interval (HP:0001657)	2/18	0.00020868739176274980697163574649977135777589865028858184814453125	0.00254598617950554766131698869457977707497775554656982421875	0.00249869062536842677368920107028316124342381954193115234375	0.03810503203686850526299423336240579374134540557861328125	-1.994819705802744	11.915531288313636	KCNH2;SCN5A
Palpitations (HP:0001962)	2/16	0.00016391654287308077904590508655502389956382103264331817626953125	0.0024997272788144816839384088069664358044974505901336669921875	0.0020207645865648938589276273347650203504599630832672119140625	0.03810503203686850526299423336240579374134540557861328125	-1.8994955675465188	11.380967574720051	KCNH2;SCN5A
Menorrhagia (HP:0000132)	2/17	0.00018563593923274956574119565200220449696644209325313568115234375	0.0025163982873772721381155914599503375939093530178070068359375	0.0022536563037848511559246844626613892614841461181640625	0.03810503203686850526299423336240579374134540557861328125	-1.8990754987658829	11.365827564546054	F7;F10
Ventricular fibrillation (HP:0001663)	2/10	0.00006173973335348609150878551599106458525056950747966766357421875	0.00183986627501596150709162191816403719712980091571807861328125	0.00088300904967095650462127753854701950331218540668487548828125	0.03810503203686850526299423336240579374134540557861328125	-1.6961181143627204	10.682257699339603	KCNH2;SCN5A
Joint hemorrhage (HP:0005261)	2/11	0.00007540435553344103781873986047656899245339445769786834716796875	0.00183986627501596150709162191816403719712980091571807861328125	0.00104131692669526677678948356486898774164728820323944091796875	0.03810503203686850526299423336240579374134540557861328125	-1.6595590778611193	10.452006606657653	F7;F10
Abnormal EKG (HP:0003115)	2/31	0.000628232642400405709437460899380312184803187847137451171875	0.00696767112480450000189247106163747957907617092132568359375	0.00675259598909410362066463306973673752509057521820068359375	0.08238167106694806174349565708325826562941074371337890625	-1.9572035976224722	9.720401247049558	KCNH2;SCN5A
Ventricular arrhythmia (HP:0004308)	2/36	0.000848042540758693380760491198344652730156667530536651611328125	0.00862176583104671580282118981131134205497801303863525390625	0.0088947011042004621439449607578353607095777988433837890625	0.09865032133749603027172980773684685118496417999267578125	-1.920185968465808	9.127537490653747	KCNH2;SCN5A
Epistaxis (HP:0000421)	2/48	0.001505119174699433813591209485593935823999345302581787109375	0.01412496456256391759442880839969802764244377613067626953125	0.0151053192713461147123066297126570134423673152923583984375	0.1535707459253521645070605927685392089188098907470703125	-1.8292021369719913	7.792056318649244	F7;F10
Autosomal recessive inheritance (HP:0000007)	6/1722	0.01404337006467122617170417697707307524979114532470703125	0.049088478241390627598850215917991590686142444610595703125	0.75340854334447515672223971705534495413303375244140625	0.76596535240021645929431315380497835576534271240234375	-2.0349236833844047	6.133526415811198	F7;PRSS1;F10;CA2;SCN5A;ESR1
Variable expressivity (HP:0003828)	2/144	0.01280857540360576772575651460783774382434785366058349609375	0.049088478241390627598850215917991590686142444610595703125	0.10628600095629658905949099789722822606563568115234375	0.1912119066004216161314133159976336173713207244873046875	-2.0022146522872273	6.034937113466226	F7;F10
Abnormality of the tricuspid valve (HP:0001702)	1/19	0.0225654732029266884285600980319941299967467784881591796875	0.049088478241390627598850215917991590686142444610595703125	0.074672436253644336456858354722498916089534759521484375	0.1675215576874556633324431231812923215329647064208984375	-1.2204656055950986	3.6786431317446415	SCN5A
Increased purine levels (HP:0004368)	1/16	0.0190352390330902586368377882308777770958840847015380859375	0.049088478241390627598850215917991590686142444610595703125	0.06380764289437708403074367424778756685554981231689453125	0.1675215576874556633324431231812923215329647064208984375	-1.2165489466921502	3.6668378090000546	PPARG
Bifid scrotum (HP:0000048)	1/22	0.0260835305100045322657109636566019617021083831787109375	0.0513256568100089183293022188081522472202777862548828125	0.08542153586470589698986799476188025437295436859130859375	0.17369045625823531509013264440000057220458984375	-1.2286514703221498	3.6485598125858503	AR
Hyperglycemia (HP:0003074)	1/17	0.0202133392260660758876777975956429145298898220062255859375	0.049088478241390627598850215917991590686142444610595703125	0.06744216514796401440445805519630084745585918426513671875	0.1675215576874556633324431231812923215329647064208984375	-1.2079115816163406	3.6408036597648494	PPARG
Acanthosis nigricans (HP:0000956)	1/25	0.0295894511398328528828383099380516796372830867767333984375	0.054695652106963761618363406569187645800411701202392578125	0.0960560627803560274085015180389746092259883880615234375	0.183106869675053685053711660657427273690700531005859375	-1.229451166080791	3.572749506930818	PPARG
Maternal diabetes (HP:0009800)	1/15	0.0178557813765849136833363530740825808607041835784912109375	0.049088478241390627598850215917991590686142444610595703125	0.06016014020425360098176525980306905694305896759033203125	0.1675215576874556633324431231812923215329647064208984375	-1.181946587468273	3.5625417677863327	PPARG
Abnormality of the carotid arteries (HP:0005344)	1/28	0.033083275141865452206868525308891548775136470794677734375	0.05849506619286355679765421200499986298382282257080078125	0.10657712826908745384901777697450597770512104034423828125	0.1912119066004216161314133159976336173713207244873046875	-1.2453600066248542	3.5353440107100687	PPARG
Absent hair (HP:0002298)	1/20	0.0237395099691971069033602503850488574244081974029541015625	0.049088478241390627598850215917991590686142444610595703125	0.07826826875561453122909227886339067481458187103271484375	0.1675215576874556633324431231812923215329647064208984375	-1.1651231898176997	3.5118338445673785	AR
